        15,       TIM,         8,        89,     kworker/1:3,
        16,       TIM,         6,      1783,     com.dispmgr,
        17,       IRQ,         3,        48,   intel_scu_ipc,
        18,       IRQ,         3,         7,   SCHED_SOFTIRQ,
        19,       TIM,         1,       446,   system_server,
        20,       TIM,         1,      1583, android.youtube,
        21,       TIM,         1,      1000,             ---,

----------,----------,----------,----------,----------------,
      Core0 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     25180,         0,             ---,
         1,       IRQ,      6149,        71,        pvrsrvkm,
         2,       TIM,      4550,        67,         mmcqd/0,
         3,       TIM,      2935,         0,         swapper,
         4,       TIM,      1862,       172,     mediaserver,
         5,       IRQ,      1806,        24,intel_sst_driver,
         6,       IRQ,       979,         0,            mmc0,
         7,       TIM,       212,      1924,        socwatch,
         8,       UNK,       140,         0,             ---,
         9,       TIM,        88,       570, ndroid.systemui,
        10,       TIM,        30,      1861, droid.gallery3d,
        11,       TIM,        24,       193,          logcat,
        12,       TIM,        23,        12,      watchdog/1,
        13,       IRQ,        21,        48,   intel_scu_ipc,
        14,       IPI,        16,         0,             ---,
        15,       TIM,        13,        11,      watchdog/0,
        16,       TIM,        11,      1783,     com.dispmgr,
        17,       IRQ,         5,        50,             adc,
        18,       TIM,         5,       446,   system_server,
        19,       IRQ,         1,         7,   SCHED_SOFTIRQ,
        20,       TIM,         1,       649,             ---,
        21,       TIM,         1,       998,             ---,

----------,----------,----------,----------,----------------,
      Core1 C6 Wakeup Info,
----------,----------,----------,----------,----------------,
       SNO,   WU Type,  WU Count,   WU Data,         WU Name,
----------,----------,----------,----------,----------------,
         0,     SCHED,     24463,         0,             ---,
         1,       IRQ,      6144,        71,        pvrsrvkm,
         2,       TIM,      4427,        67,         mmcqd/0,
         3,       TIM,      2898,         0,         swapper,
         4,       IRQ,      1731,        24,intel_sst_driver,
         5,       TIM,      1530,       172,     mediaserver,
         6,       IRQ,       971,         0,            mmc0,
         7,       TIM,       222,      1924,        socwatch,
         8,       UNK,       156,         0,             ---,
         9,       TIM,        77,       570, ndroid.systemui,
        10,       TIM,        34,        12,      watchdog/1,
        11,       TIM,        26,      1861, droid.gallery3d,
        12,       TIM,        19,       193,          logcat,
        13,       IRQ,        16,        48,   intel_scu_ipc,
        14,       TIM,        12,      1783,     com.dispmgr,
        15,       IPI,        10,         0,             ---,
        16,       IRQ,         4,         7,   SCHED_SOFTIRQ,
        17,       TIM,         2,       161,    ia_watchdogd,
        18,       TIM,         1,       460,             ---,
        19,       IRQ,         1,        50,             adc,
        20,       TIM,         1,       999,             ---,
        21,       TIM,         1,      1901,             ---,









,----------,-----------,----------,
,       P State Residency         ,
,----------,-----------,----------,
,----------,  Core 0   ,----------,
,      P[0],            2001-2133,      0.0%,
,      P[0],            1867-2000,      0.0%,
,      P[0],            1734-1866,      0.0%,
,      P[0],            1601-1733,      0.0%,
,      P[0],            1467-1600,      0.0%,
,      P[0],            1334-1466,      0.0%,
,      P[1],            1333,      0.1%,
,      P[2],            1200,      0.0%,
,      P[3],            1066,      0.0%,
,      P[4],             933,      0.1%,
,      P[5],             800,      0.0%,
,      P[6],             666,      0.3%,
,      P[7],             533,     99.5%,
,----------,  Core 1   ,----------,
,      P[0],            2001-2133,      0.0%,
,      P[0],            1867-2000,      0.0%,
,      P[0],            1734-1866,      0.0%,
,      P[0],            1601-1733,      0.0%,
,      P[0],            1467-1600,      0.1%,
,      P[0],            1334-1466,      0.0%,
,      P[1],            1333,      0.0%,
,      P[2],            1200,      0.0%,
,      P[3],            1066,      0.1%,
,      P[4],             933,      0.0%,
,      P[5],             800,      0.1%,
,      P[6],             666,      0.2%,
,      P[7],             533,     99.6%,
,----------,----------,----------,----------,----------,----------------------------------------------
,          ,    North Complex   ,Residency ,          ,
,----------,----------,----------,----------,----------,----------------------------------------------
,          ,   D0i0   ,   D0i1   ,    D0i2  ,    D0i3  ,
,----------,----------,----------,----------,----------,----------------------------------------------
,   NC-00  ,     36.6%,      0.0%,      0.0%,     63.4%," GFXSLC ",
,   NC-01  ,     35.9%,      0.0%,      0.0%,     64.1%," GSDKCK ",
,   NC-02  ,      1.5%,      0.0%,      0.0%,     98.5%," GRSCD  ",
,   NC-03  ,     35.2%,      0.0%,      0.0%,     64.8%,"Video Decoder",
,   NC-04  ,      0.0%,      0.0%,      0.0%,    100.0%,"Video Encoder",
,   NC-05  ,    100.0%,      0.0%,      0.0%,      0.0%,"Display Island A",
,   NC-06  ,      0.0%,      0.0%,      0.0%,    100.0%,"Display Island B",
,   NC-07  ,    100.0%,      0.0%,      0.0%,      0.0%,"Display Island C",
,   NC-08  ,      0.0%,      0.0%,      0.0%,    100.0%,"VSP",
,   NC-09  ,      0.0%,      0.0%,      0.0%,    100.0%,"ISP",
,   NC-10  ,    100.0%,      0.0%,      0.0%,      0.0%,"MIO",
,   NC-11  ,      0.0%,      0.0%,      0.0%,    100.0%,"HDMIO ",
,   NC-12  ,     36.6%,      0.0%,      0.0%,     63.4%,"GFXSLCLDO",
,----------,----------,----------,----------,----------,-----------------------------------------------
,South Complex Device residencies of some Subsystem goes in D0i2 only(not D0i3), which are reported as D0i3 by SCU,
,----------,----------,----------,-----------------------------------------------,
,          ,   Device ,Residency ,                                               ,
,----------,----------,----------,-----------------------------------------------,
,   LSS    ,   D0i0   ,   D0i3   ,           Physical Devices                    ,
,----------,----------,----------,-----------------------------------------------,
,  LSS-00  ,      0.0%,    100.0%,PSH, I2C8, I2C9    ,
,  LSS-01  ,      0.0%,    100.0%,SDIO0        ,
,  LSS-02  ,     65.9%,     34.1%,EMMC0        ,
,  LSS-04  ,      0.0%,    100.0%,SDIO2        ,
,  LSS-05  ,      0.0%,    100.0%,MIPIHSI      ,
,  LSS-06  ,      0.0%,    100.0%,SECURITY     ,
,  LSS-07  ,      0.0%,    100.0%,SECTAP       ,
,  LSS-08  ,      0.0%,    100.0%,USBHSICRF    ,
,  LSS-09  ,      0.0%,    100.0%,USB3XHCI     ,
,  LSS-10  ,    100.0%,      0.0%,AUDIO, AUDIOFABRIC, SSP2, AUDDMA1, SSP1, SLIMBUSCTL  ,
,  LSS-17  ,      0.0%,    100.0%,SSP3         ,
,  LSS-18  ,      0.0%,    100.0%,SSP5         ,
,  LSS-19  ,      0.0%,    100.0%,SSP6         ,
,  LSS-20  ,      0.0%,    100.0%,I2C1         ,
,  LSS-21  ,      0.0%,    100.0%,I2C2         ,
,  LSS-22  ,      0.0%,    100.0%,I2C3         ,
,  LSS-23  ,      0.0%,    100.0%,I2C4         ,
,  LSS-24  ,      0.0%,    100.0%,I2C5         ,
,  LSS-25  ,      0.0%,    100.0%,GPDMA        ,
,  LSS-26  ,      0.0%,    100.0%,I2C6         ,
,  LSS-27  ,      0.0%,    100.0%,I2C7         ,
,  LSS-30  ,      0.0%,    100.0%,KPD          ,
,  LSS-35  ,    100.0%,      0.0%,SSP4         ,
,  LSS-36  ,      0.0%,    100.0%,PWM          ,
,----------,----------,----------,-----------------------------------------------,
KERNEL Wakelock AudioOutLock was locked 1 time(s) for a total of 139868.3 ms
KERNEL Wakelock KeyEvents was locked 5 time(s) for a total of 0.5 ms
KERNEL Wakelock PowerManagerService.Display was locked 1 time(s) for a total of 139868.3 ms
KERNEL Wakelock PowerManagerService.WakeLocks was locked 1 time(s) for a total of 139868.3 ms
KERNEL Wakelock Sensorhubd was locked 1 time(s) for a total of 139868.3 ms
KERNEL Wakelock alarm was locked 4 time(s) for a total of 74.3 ms
KERNEL Wakelock intel_scu_ipc was locked 119 time(s) for a total of 27.2 ms
KERNEL Wakelock ospm_wake_lock was locked 1 time(s) for a total of 139868.3 ms
KERNEL Wakelock pmic_i2c_wake_lock was locked 3 time(s) for a total of 4.5 ms
KERNEL Wakelock pmic_wakelock was locked 1 time(s) for a total of 2467.7 ms
USER Wakelock AlarmManager was locked 4 time(s) for a total of 277.6 ms
USER Wakelock AudioOut_2 was locked 1 time(s) for a total of 139798.6 ms
USER Wakelock WindowManager was locked 1 time(s) for a total of 139798.6 ms

